time_key,open,close,high,low,volume
2015-04-17,100.778,101.203,101.688,100.778,95520.0
2015-04-20,101.291,101.55,101.638,101.29,32967.0
2015-04-21,101.669,101.607,102.81,101.556,77044.0
2015-04-22,101.89,101.832,101.902,101.492,65555.0
2015-04-23,101.838,101.727,101.838,101.61,40963.0
2015-04-24,101.727,101.54,101.74,101.531,84775.0
2015-04-27,101.559,101.83,101.839,101.54,99996.0
2015-04-28,101.8,101.949,101.951,101.8,48547.0
2015-04-29,101.742,101.989,102.33,101.49,65412.0
2015-04-30,101.89,102.12,102.19,101.89,48759.0
2015-05-04,102.33,101.802,102.34,101.69,34969.0
2015-05-05,101.94,101.758,102.04,101.711,52122.0
2015-05-06,101.731,101.345,101.76,101.291,27832.0
2015-05-07,101.291,101.548,101.548,101.29,44164.0
2015-05-08,101.646,101.919,101.946,101.61,59683.0
2015-05-11,101.92,102.088,102.136,101.915,31498.0
2015-05-12,102.16,102.07,102.16,101.99,60054.0
2015-05-13,102.09,102.022,102.11,101.969,54757.0
2015-05-14,102.035,102.247,102.377,102.035,30458.0
2015-05-15,102.307,102.262,102.434,102.241,55070.0
2015-05-18,102.271,102.29,102.373,102.27,99637.0
2015-05-19,102.215,102.083,102.289,102.041,44912.0
2015-05-20,102.278,101.975,102.278,101.875,23974.0
2015-05-21,101.936,101.836,102.036,101.606,34133.0
2015-05-22,101.888,101.93,102.26,101.888,66163.0
2015-05-25,101.99,101.925,101.99,101.596,36943.0
2015-05-26,101.927,101.904,101.97,101.788,93759.0
2015-05-27,101.8,101.796,102.34,101.77,130923.0
2015-05-28,101.89,101.819,102.088,101.713,280075.0
2015-05-29,101.81,101.201,101.81,100.993,62704.0
2015-06-01,101.376,100.69,101.89,100.391,65704.0
2015-06-02,100.66,100.86,101.29,100.512,78274.0
2015-06-03,100.81,101.485,101.491,100.81,107687.0
2015-06-04,101.49,101.58,101.888,101.301,69348.0
2015-06-05,101.54,101.941,102.4,101.503,126671.0
2015-06-08,101.893,102.041,102.689,101.889,59052.0
2015-06-09,102.28,101.829,102.31,101.79,106516.0
2015-06-10,101.978,101.583,102.0,101.495,38586.0
2015-06-11,101.545,101.63,101.976,101.24,263930.0
2015-06-12,101.63,101.5,101.88,101.49,172356.0
2015-06-15,101.5,101.089,101.502,101.054,50684.0
2015-06-16,101.34,101.086,101.34,100.69,72797.0
2015-06-17,101.001,100.94,101.17,99.89,45547.0
2015-06-18,101.23,101.011,101.288,100.794,132692.0
2015-06-19,101.011,101.088,101.09,100.95,65884.0
2015-06-23,101.03,101.282,101.549,101.03,70294.0
2015-06-24,101.282,101.546,101.555,101.28,156070.0
2015-06-25,101.556,101.09,101.684,101.09,121915.0
2015-06-26,101.209,100.685,101.691,100.621,136295.0
2015-06-29,101.26,100.84,101.862,100.415,71258.0
2015-06-30,100.802,100.778,100.915,100.71,59485.0
2015-07-01,100.778,100.96,101.04,100.6,6560.0
2015-07-02,100.95,100.713,100.95,100.69,3876.0
2015-07-03,100.661,100.797,101.854,100.661,4004.0
2015-07-06,100.81,101.48,101.49,100.81,5231.0
2015-07-07,101.132,102.189,102.2,101.132,17908.0
2015-07-08,102.201,102.708,102.806,102.201,11099.0
2015-07-09,102.491,102.543,102.611,101.981,4781.0
2015-07-10,102.676,101.932,102.676,101.495,2907.0
2015-07-13,101.89,102.074,102.19,101.89,21578.0
2015-07-14,102.07,101.97,102.374,101.69,32095.0
2015-07-15,102.045,102.223,102.686,101.69,39241.0
2015-07-16,102.222,102.79,112.89,102.058,31873.0
2015-07-17,102.79,103.495,103.886,102.721,14537.0
2015-07-20,103.201,103.291,103.624,103.2,10794.0
2015-07-21,103.585,103.25,103.585,103.191,19255.0
2015-07-22,103.26,103.206,103.292,102.89,30123.0
2015-07-23,103.25,103.34,103.373,103.19,21473.0
2015-07-24,103.05,102.933,103.374,102.919,21398.0
2015-07-27,103.063,102.989,103.064,102.693,12620.0
2015-07-28,103.019,103.264,103.69,102.911,21110.0
2015-07-29,103.27,103.611,105.89,103.264,16475.0
2015-07-30,103.478,103.156,104.09,102.843,44192.0
2015-07-31,103.168,103.07,103.168,102.924,58232.0
2015-08-03,103.06,103.283,103.69,102.89,35316.0
2015-08-04,102.69,103.072,103.609,102.65,72125.0
2015-08-05,103.29,103.313,103.45,103.083,94868.0
2015-08-06,103.291,103.512,103.545,103.212,65617.0
2015-08-07,103.54,103.579,103.84,103.54,60369.0
2015-08-10,103.41,103.553,103.881,103.4,17158.0
2015-08-11,103.53,103.483,103.724,103.43,26476.0
2015-08-12,103.48,103.412,103.552,103.19,26406.0
2015-08-13,103.385,103.298,103.63,103.223,48469.0
2015-08-14,103.34,103.248,103.405,103.22,33614.0
2015-08-17,103.215,102.908,103.279,102.83,12781.0
2015-08-18,102.989,102.525,102.989,102.49,26995.0
2015-08-19,102.439,102.588,102.59,102.439,153487.0
2015-08-20,102.53,102.576,102.628,102.521,173871.0
2015-08-21,102.49,102.603,102.68,102.49,51376.0
2015-08-24,102.478,102.773,102.99,102.478,34663.0
2015-08-25,102.674,102.89,103.009,102.674,86529.0
2015-08-26,102.7,102.99,103.178,102.695,102462.0
2015-08-27,103.088,103.268,103.271,102.903,74265.0
2015-08-28,103.182,103.422,103.54,102.99,21280.0
2015-08-31,103.422,103.656,103.92,103.342,153936.0
2015-09-01,103.74,104.02,104.04,103.676,94819.0
2015-09-02,103.99,104.005,104.27,103.889,28987.0
2015-09-07,103.998,103.909,104.803,103.47,82456.0
2015-09-08,103.885,103.529,103.91,103.492,103619.0
2015-09-09,103.525,103.557,103.627,103.525,133255.0
2015-09-10,103.581,103.34,103.581,103.33,56820.0
2015-09-11,103.389,103.104,103.47,103.024,94782.0
2015-09-14,103.099,103.279,103.279,103.099,119552.0
2015-09-15,103.3,103.318,103.416,103.204,128676.0
2015-09-16,103.315,103.29,103.49,103.211,123281.0
2015-09-17,103.24,103.262,103.388,103.24,176434.0
2015-09-18,103.289,103.248,103.289,103.207,133179.0
2015-09-21,103.29,103.267,103.31,103.249,193669.0
2015-09-22,103.268,103.195,103.286,103.19,206110.0
2015-09-23,103.2,103.211,103.215,103.191,383464.0
2015-09-24,103.211,103.205,103.222,103.181,284192.0
2015-09-25,103.21,103.168,103.21,103.138,359103.0
2015-09-28,103.161,103.191,103.3,101.09,162973.0
2015-09-29,103.19,103.319,103.32,103.181,52569.0
2015-09-30,103.407,103.581,103.616,103.32,20715.0
2015-10-08,103.6,103.469,103.6,103.308,5105.0
2015-10-09,103.58,103.75,104.059,102.79,7774.0
2015-10-12,103.44,104.33,104.339,103.44,9991.0
2015-10-13,104.165,104.192,104.688,104.165,8792.0
2015-10-14,104.289,104.513,104.672,104.211,21369.0
2015-10-15,104.729,104.341,104.729,104.32,11153.0
2015-10-16,104.28,103.906,104.32,103.84,11569.0
2015-10-19,103.902,103.954,104.0,103.812,23046.0
2015-10-20,103.98,104.479,104.486,103.98,8413.0
2015-10-21,104.45,104.389,104.53,104.193,19215.0
2015-10-22,104.388,104.296,104.398,104.2,11025.0
2015-10-23,104.297,104.429,104.623,104.277,6273.0
2015-10-26,104.17,104.554,104.594,104.17,20454.0
2015-10-27,104.69,104.74,104.78,104.562,20026.0
2015-10-28,104.74,104.93,105.109,104.74,9277.0
2015-10-29,104.89,104.638,104.974,104.59,16681.0
2015-10-30,104.62,104.695,104.727,104.6,12889.0
2015-11-02,104.695,104.726,104.864,104.628,17442.0
2015-11-03,104.44,104.663,104.71,104.44,11901.0
2015-11-04,104.654,104.296,104.654,104.246,10718.0
2015-11-05,104.325,104.282,104.325,104.15,10473.0
2015-11-06,104.284,104.112,104.284,104.03,9418.0
2015-11-09,104.111,103.104,104.111,102.39,10008.0
2015-11-10,103.378,103.391,103.454,103.06,7498.0
2015-11-11,103.416,103.807,103.815,103.378,20221.0
2015-11-12,103.79,103.903,103.99,103.664,17129.0
2015-11-13,103.94,103.893,104.005,103.853,21357.0
2015-11-16,103.92,103.922,103.989,103.83,9226.0
2015-11-17,103.922,104.04,104.04,103.834,16546.0
2015-11-18,104.039,103.843,104.04,103.835,45763.0
2015-11-19,103.825,103.902,103.908,103.791,15244.0
2015-11-20,103.86,103.913,103.987,103.853,7884.0
2015-11-23,103.891,103.912,103.964,103.82,13140.0
2015-11-24,103.908,104.158,104.221,103.899,13798.0
2015-11-25,104.158,104.163,104.338,104.112,23546.0
2015-11-26,104.163,104.385,104.537,104.163,18069.0
2015-11-27,104.423,104.333,104.461,104.29,31329.0
2015-11-30,104.325,104.468,104.558,104.29,10364.0
2015-12-01,104.471,104.323,104.482,104.273,6195.0
2015-12-02,104.423,104.49,104.63,104.42,8585.0
2015-12-03,104.528,104.525,104.574,104.463,16425.0
2015-12-04,104.608,104.506,104.636,104.446,20103.0
2015-12-07,104.501,104.561,104.638,104.501,19823.0
2015-12-08,104.561,104.615,104.639,104.515,17791.0
2015-12-09,104.615,104.601,104.64,104.592,16472.0
2015-12-10,104.603,104.647,104.713,104.602,17788.0
2015-12-11,104.619,104.649,104.68,104.619,23498.0
2015-12-14,104.65,104.52,104.65,104.503,43593.0
2015-12-15,104.467,104.594,104.618,104.467,12988.0
2015-12-16,104.579,104.675,104.682,104.511,21863.0
2015-12-17,104.675,104.711,104.768,104.635,26893.0
2015-12-18,104.69,104.99,105.061,104.44,31002.0
2015-12-21,105.096,105.411,105.436,105.059,7482.0
2015-12-22,105.409,105.349,105.412,105.3,10318.0
2015-12-23,105.342,105.391,105.49,105.23,10749.0
2015-12-24,105.401,105.538,105.59,105.363,8204.0
2015-12-25,105.581,105.49,105.619,105.46,9967.0
2015-12-28,105.491,105.955,106.076,105.49,26079.0
2015-12-29,106.065,105.888,106.07,105.772,13420.0
2015-12-30,105.803,105.857,105.87,105.66,18645.0
2015-12-31,105.854,105.735,106.087,105.692,10176.0
2016-01-04,105.777,105.436,105.798,105.284,1392.0
2016-01-05,105.433,105.33,105.436,105.301,1419.0
2016-01-06,105.292,105.365,105.41,105.292,5583.0
2016-01-07,105.36,105.481,105.513,105.36,3824.0
2016-01-08,105.454,105.74,105.75,105.452,2114.0
2016-01-11,105.74,105.79,105.868,105.74,3545.0
2016-01-12,105.832,106.082,106.09,105.832,2049.0
2016-01-13,106.09,106.214,106.24,106.03,3892.0
2016-01-14,106.344,106.075,106.422,105.96,3612.0
2016-01-15,106.077,106.178,106.265,106.076,3742.0
2016-01-18,106.116,106.059,106.191,96.063,7044.0
2016-01-19,106.039,105.77,106.077,105.59,4394.0
2016-01-20,105.78,105.733,105.811,105.546,4012.0
2016-01-21,105.698,105.987,106.038,105.67,2273.0
2016-01-22,106.035,106.002,106.09,105.925,3471.0
2016-01-25,105.963,105.857,105.963,105.773,3620.0
2016-01-26,105.811,105.918,105.963,105.774,3819.0
2016-01-27,105.808,105.719,105.91,105.702,5041.0
2016-01-28,105.717,105.646,105.72,105.552,7459.0
2016-01-29,105.62,105.696,105.768,105.615,14477.0
2016-02-01,105.728,105.694,105.728,105.691,12610.0
2016-02-02,105.701,105.679,105.963,105.621,8438.0
2016-02-03,105.696,105.8,105.808,105.623,5010.0
2016-02-04,105.799,105.764,105.805,105.714,12850.0
2016-02-05,105.798,105.795,105.84,105.759,13727.0
2016-02-15,105.848,106.0,106.002,105.809,19569.0
2016-02-16,105.98,105.996,106.089,105.9,14792.0
2016-02-17,105.99,105.999,105.999,105.9,33757.0
2016-02-18,105.963,105.932,105.989,105.891,9981.0
2016-02-19,105.925,106.029,106.063,105.924,26856.0
2016-02-22,106.03,106.025,106.29,105.998,29424.0
2016-02-23,106.001,106.087,106.098,106.001,15157.0
2016-02-24,106.14,106.256,106.267,106.054,14591.0
2016-02-25,106.27,106.169,106.349,106.09,13212.0
2016-02-26,106.235,106.252,106.267,106.165,19309.0
2016-02-29,106.238,106.263,106.363,106.237,11638.0
2016-03-01,106.265,106.42,106.446,106.259,5303.0
2016-03-02,106.52,106.46,106.588,106.401,4712.0
2016-03-03,106.093,106.388,106.411,106.093,13394.0
2016-03-04,106.381,106.325,106.45,96.39,23550.0
2016-03-07,106.17,106.289,106.359,106.17,22611.0
2016-03-08,106.291,106.311,106.347,106.289,38239.0
2016-03-09,106.32,106.39,106.43,106.32,19494.0
2016-03-10,106.39,106.529,106.54,106.362,18817.0
2016-03-11,106.54,106.827,106.901,106.54,12189.0
2016-03-14,106.79,106.562,107.186,106.539,12470.0
2016-03-15,106.563,106.526,106.62,106.405,30701.0
