date,position,transformer_pred,bull_prob,strategy_ret,market_ret
2023-10-16,0.8,-0.00018310547,0.0002747266261144981,0.0028186101466417313,0.0035232627
2023-10-17,0.8,0.0010120124,0.00045951281073835793,-0.006360326707363129,-0.007950408
2023-10-18,0.8,-0.0040533543,0.00036350836589772316,-0.017254579067230224,-0.021568224
2023-10-19,0.8,0.0012226999,0.0004892139803097147,-0.005212869495153427,-0.006516087
2023-10-20,0.8,0.006288901,0.0013193688040425808,-0.008326691389083863,-0.010408364
2023-10-23,0.8,0.0028695017,0.00045423270021386535,0.0029626386240124702,0.0037032983
2023-10-24,0.8,0.0053698868,0.0005300292649818074,0.003965915739536286,0.0049573947
2023-10-25,0.8,0.0040023774,0.0004386994403227096,0.002206709235906601,0.0027583865
2023-10-26,0.8,-0.0031215698,0.0013960217689325575,0.010909470915794374,0.013636839
2023-10-27,0.8,0.0027905405,0.00011727864557967885,0.004786920920014382,0.005983651
2023-10-30,0.8,-0.004432,0.00044491706864897146,-0.002517511136829853,-0.003146889
2023-10-31,0.8,0.0009846985,3.068064838166008e-05,-0.0003314883215352893,-0.0004143604
2023-11-01,0.8,-0.00054808706,6.766249637262531e-05,-0.003781504184007645,-0.00472688
2023-11-02,0.8,-0.0046795905,8.271186524612142e-05,0.00671309381723404,0.008391367
2023-11-03,0.8,-0.0017104521,0.0001612289355248919,0.010746273398399354,0.013432842
2023-11-06,0.8,-0.0013952106,6.567297650185464e-05,-0.002834938280284405,-0.0035436729
2023-11-07,0.8,-0.005722627,0.000278082552265844,-0.001922878436744213,-0.002403598
2023-11-08,0.8,-0.00069484115,0.00019627063330232282,0.0003898171475157142,0.00048727143
2023-11-09,0.8,0.0011162162,0.00021874740971867108,-0.005853912234306336,-0.0073173903
2023-11-10,0.8,0.0016916841,0.00013350157690602792,-0.001580820791423321,-0.001976026
2023-11-13,0.8,5.4091215e-06,0.00021802256571072588,0.0005920572672039271,0.0007400716
2023-11-14,0.8,-0.0031134114,1.440177779536086e-05,0.005606124177575111,0.007007655
2023-11-15,0.8,-0.0025247857,1.663536542873616e-05,-0.007775413990020752,-0.0097192675
